"","day","mo","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"35",3,1,45.5,43.2,1012.5,5.2,11.8,15,22,48,28.9,0,1,-0.399320506618594
"36",5,1,36.4,19.7,1007.8,10,15.4,22.9,33,48,32,0,0,-0.469102434364234
"37",3,1,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48,25,0,0,-0.857887460375656
"38",5,1,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,0,-0.439195893901817
"39",1,1,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,0,-1.13701517135822
"40",6,1,43.7,43.7,1021.7,5.6,13.4,19,27,48,30.9,0,1,1.04616228239823
"41",5,1,44.3,39.9,997.4,9,9.7,18.1,24.1,50,37.9,0.02,0,-0.359445119335371
"42",2,1,41.7,36,1005,8.2,13.5,25.1,46,50,30.9,0.26,0,-1.02735785632935
"43",4,1,45,40.9,1027.3,6.5,15.1,27,34,50,28.9,0.33,0,0.298498770837806
"44",7,1,45.9,38.6,1022.7,10,9.3,15.9,21,50,30.9,0,0,-0.449164740722622
"45",3,1,33,19.1,1015.4,10,7.9,14,18.2,50,19.9,0,0,0.378249545404252
"46",1,1,45,39,1014.8,8.6,12.5,17.1,24.1,50,34,0,0,-0.668479370780348
"47",1,1,40,32.8,1021.4,9.2,13.4,25.1,31.1,50,14,0,0,3.6081559153453
"48",2,1,37.4,28.7,1032,10,7.1,12,15.6,50,26.1,0.03,0,-1.49589365690722
"49",7,1,29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,0,-1.03732670315016
"50",1,1,46.3,41.2,1010,7,14.9,20,26,50,43,0,0,-2.05414907887234
"51",6,1,46.8,37.5,1022.8,7.2,12.6,21,25.1,50,37.9,0.39,0,0.0492776003176634
"52",1,1,43.2,42.4,1012.4,2.8,17,27,36.9,52,28,0.61,1,-1.87470983609784
"53",3,1,23.9,10.4,1009.6,9.4,17.6,28.9,41,52,15.1,0.12,0,-1.07720209043338
"54",3,1,32.6,25.6,1028.5,8.4,16.3,22.9,28.9,52,26.1,0.82,0,0.138997221704915
"55",2,1,40.9,35.6,1028.3,7.7,6.3,14,29.9,52,21,0,1,-0.189974723381674
"56",2,1,38.2,27.4,1011.5,10,13.5,24.1,31.1,52,34,0,0,0.0193710598552462
"57",6,1,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,0,0.667346103207618
"58",1,1,44.4,29.4,1010.4,10,15.5,22.9,33,52,34,0,0,-1.66536405286092
"59",5,1,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,0,-0.0703485615320052
"60",2,1,46.3,45.1,1007,2.5,14.8,20,26,52,41,0.04,1,-0.808043226271628
"61",7,1,45.4,43.2,1007.7,3,19.2,33,45.1,52,33.1,0.41,1,0.0393087534968576
"62",3,1,47.4,41.6,1009.2,5.4,18.3,29.9,41,54,39.9,0.84,1,-1.68530174650253
"63",5,1,46.5,40.3,995.5,5.9,23.1,28,39,54,39,0.02,1,-0.0703485615320052
"64",1,1,48.6,46.9,1015.4,1.9,15.5,22.9,28.9,54,30,0.21,1,-2.17377524072201
"65",4,1,29.4,11.2,1014.4,10,18.9,27,36.9,37,21.9,0,0,0.238685689912972
"66",4,1,25,14.8,1019.2,10,13.1,18.1,25.1,37,19.9,0.18,0,-0.0304731742487823
"67",6,1,28.6,13.4,1013.9,10,14.2,18.1,26,37,26.1,0,0,0.448031473149892
"68",5,1,30.9,10.8,1015.8,10,14.5,20,27,37,25,0,0,0.667346103207618
"69",1,1,27.1,12.1,1035.5,10,8.8,13,17.1,37,19.9,0,0,-2.57252911355424
"70",4,1,32.1,24,1031.2,8,9.6,13,22.9,37,26.1,0.15,0,-0.927669388121297
"71",6,1,31.6,20.4,1022.8,10,10.4,15.9,20.67,39,27,0.09,0,-0.0105354806071709
"72",5,1,35.5,30.5,1021,8.4,8.4,12,15.6,39,25,0.13,0,-0.907731694479685
"73",4,1,32.3,17.7,1018.1,10,7.9,13,16.9,39,25,0,0,-1.03732670315016
"74",4,1,36,35.2,1024.3,5.5,7.7,14,18.2,41,28,0.17,1,0.119059528063303
"75",1,1,26.8,15.4,1004.7,9.4,17.8,22.9,29.9,41,21,0.03,0,-1.33639210777433
"76",7,1,32,23,1011.2,8.5,17,27,35.9,41,10.9,0,0,-1.23670363956627
"77",6,1,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,0,-0.937638234942102
"78",5,1,32.4,29.5,1013.5,8.4,10.2,15,19,41,28.9,0.04,0,0.348343004941835
"79",5,1,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,1,-1.07720209043338
"80",3,1,38,25.6,1008.8,10,15,21,28,41,33.1,0,0,-2.17377524072201
"81",6,1,35.1,31.1,1012.2,8.4,8.1,15,19.5,41,23,0,0,0.228716843092166
"82",6,1,31.7,25.8,1015.2,6.1,8.9,13,16.9,41,28.9,0.03,1,0.00940221303444051
"83",1,1,36.1,29,1005.7,10,16.5,28,38.1,43,32,0.04,0,-2.18374408754282
"84",2,1,31.2,20.9,1015.7,6.7,12.7,24.1,31.1,43,26.1,0,0,-1.14698401817902
"85",5,1,29.4,15,1024.6,10,11.2,17.1,25.1,43,19,0,0,-0.130161642456839
"86",4,1,32.9,18.2,1005.8,9.6,18,32.1,42,43,19.9,0.13,0,0.0592464471384691
"87",3,1,27.7,18.1,1028.5,7.9,20.3,28.9,39,43,24.1,0,0,0.408156085866669
"88",2,1,34,23.1,1006.1,9.7,6.5,15,22,43,24.1,0,0,-0.538884362109874
"89",4,1,31.3,23.1,1017.3,9.8,9.1,19,26,43,19,0,0,-0.199943570202479
"90",2,1,31.6,20.7,1029,10,6.2,15,18.1,43,21,0,0,-1.21676594592466
"91",3,1,38.3,32.3,1016.8,9.3,14.6,21,28,43,30.9,0.01,0,0.84678534598212
"92",1,1,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,0,-1.70523944014414
"93",6,1,40.4,21.5,1018.3,10,13.1,19,31.1,45,28,0,0,-1.56567558465286
"94",4,1,41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,0,-0.209912417023285
"95",5,1,40.7,36.9,1014.4,7.4,7.6,14,22,45,37,0.1,0,0.109090681242498
"96",6,1,41.3,36.8,999.4,10,5.9,9.9,12.87,45,23,0,0,0.458000319970698
"97",7,1,38.7,23.1,1000.8,10,18.3,25.1,33,45,36,0,0,-0.977513622225325
"98",1,1,36.5,26.7,1000.4,9.4,16,22,32.1,45,33.1,0.9,0,-1.92455407020187
"99",7,1,38.5,34.8,1003.3,6.7,12.4,25.1,33,45,27,0.23,0,-1.70523944014414
"100",2,1,31.2,16,1015.5,9.2,10.1,20,26,45,27,0,0,-2.43296525806296
"101",3,1,22.2,-1.3,1020.6,10,10.7,17.1,25.1,45,17.1,0,0,-0.947607081762908
"102",6,1,36.5,25.6,1014.8,10,7.2,13,16.9,45,24.1,0,0,1.22560152517274
"103",2,1,38.8,32.3,1008,8.8,12.3,17.1,22.9,45,21,0,0,-0.877825154017268
"104",6,1,42.1,29.8,997.8,9.9,20.3,28.9,35.9,45,39.9,0.1,0,-0.160068182919257
"105",2,1,27.4,11.7,1024.8,10,17.4,22,31.1,45,21.9,0,0,-0.150099336098451
"106",4,1,33.5,19.3,1033.1,10,8.3,17.1,22.23,45,21,0,0,0.258623383554583
"107",6,1,39.9,32.5,1015.5,10,4.3,9.9,12.87,45,37,0,0,0.0592464471384691
"108",5,1,38.5,38,1030.1,10,8.6,12,15.6,45,21.9,0,0,0.966411507831789
"109",7,1,37.8,27.3,1011,10,11.6,15,22.9,45,34,0,0,-0.0304731742487823
"110",7,1,34.5,19.8,1033.9,9.5,11.1,17.1,26,45,30,0,0,-1.42611172916158
"111",4,1,41.1,35.1,995.2,8.5,17.4,24.1,33,55,37.9,0.4,0,-0.229850110664897
"112",2,1,44,32.1,1012.9,7.6,16.3,28.9,39,55,28.9,0.27,0,-1.00742016268774
"113",4,1,35,23.4,1022.9,10,10.3,14,24.1,55,28,0.61,0,-0.967544775404519
"114",3,1,48.9,46.9,992.3,2.3,17.2,28.9,41,55,37.9,0.85,1,-0.349476272514565
"115",7,1,42.7,41.5,1022.6,7.1,7.9,13,20,46.4,39.2,0.17,0,-1.23670363956627
"116",6,1,39,30.2,1014.4,9.8,9.9,18.1,26,46.9,30.9,0.01,0,-0.0105354806071709
"117",7,1,43.8,42.4,1005.8,5,11.8,21,31.1,46.9,30.9,0.25,0,-1.43608057598239
"118",3,1,29.2,17.5,1012.1,8.5,12.6,22,28.9,46.9,23,0,1,5.60192527950645
"119",1,1,45.4,44.9,1020.7,4.3,5.8,9.9,12.87,46.9,44.1,0.01,1,-2.25352601528846
"120",5,1,40.5,29.9,1026.9,10,6.8,13,16.9,46.9,24.1,0,0,-0.568790902572291
"121",3,1,36.3,30.8,1025.7,6.7,9.3,19,24.7,46.9,21.9,0,1,-0.279694344768925
"122",5,1,39.4,32.9,1015.6,9.5,9.2,19,24.1,46.9,28,0,0,-0.947607081762908
"123",2,1,38.6,31.2,1018.7,9.2,7.7,12,15.6,46.9,28.9,0.01,0,-0.309600885231342
"124",7,1,35.9,26.6,1026.4,9.2,15.3,24.1,32.1,46.9,16,0,0,-1.14698401817902
"125",4,1,44.4,39.6,997.6,5.6,13.4,22,34,46.9,28.9,0.12,1,-0.847918613554851
"126",2,1,41,27.9,1003.2,10,16.8,24.1,35,46.9,34,0,0,-2.38312102395893
"127",7,1,38.1,32.5,1010.9,10,14.3,25.1,34,46.9,24.1,0,0,-0.688417064421959
"128",1,1,39.7,34,1007.1,9.6,13.1,20,28.9,46.9,34,0.86,0,-2.22361947482604
"129",5,1,34.9,21.2,998.6,9.7,14.7,19,32.1,46.9,32,0.01,0,-0.189974723381674
"130",3,1,42.3,38.3,1023.1,9.5,8,15,19.5,48.9,39,0.24,0,-0.827980919913239
"131",4,1,41.1,38.4,1013.3,6.5,6,15.9,24.1,48.9,32,0.62,0,-0.160068182919257
"132",3,1,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,0,0.597564175461978
"133",1,1,39.7,31.7,1018.2,10,7.2,12,15.6,48.9,28,0,0,-1.8049279083522
"134",2,1,36.4,35.9,1023.6,7.6,4,11.1,14.43,48.9,27,0,0,-0.399320506618594
"135",6,1,33.7,26.7,1020.9,9.9,9.1,15,19,37.4,28.9,0,0,-0.389351659797788
"136",3,1,35.4,34.9,1019,2.6,4.9,9.9,12.87,37.4,33.1,0.08,1,-0.568790902572291
"137",3,1,25.5,4.8,1007.1,10,21.7,27,38.1,37.9,21.9,0.02,0,0.627470715924395
"138",2,1,31.6,24.5,1034.9,9.1,15.4,20,25.1,37.9,25,0,0,-0.758198992167599
"139",5,1,28.9,14.7,1013.1,8.1,11.4,20,27,37.9,27,0.01,0,-0.0205043274279766
"140",7,1,34.6,25.4,1014.3,6.1,17.5,32.1,52.1,37.9,21.9,0,1,-1.96442945748509
"141",2,1,33.5,21.2,1021.4,10,6.5,8.9,11.57,37.9,30,0.02,0,0.587595328641172
"142",1,1,34.5,27.9,1005.7,6.3,25.6,36.9,49,37.9,33.1,0.37,0,-0.818012073092434
"143",7,1,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,0,-0.658510523959542
"144",3,1,32.3,28.9,1032,8.2,8.8,19,26,37.9,28,0,0,0.178872608988138
"145",5,1,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28,0.03,0,-0.508977821647457
"146",6,1,34.5,23.4,1008.6,10,14.9,25.1,34,39.9,28.9,0.02,0,-0.359445119335371
"147",5,1,31.8,15.1,1018.6,9.9,13.6,24.1,33,39.9,21.9,0,0,-2.03421138523073
"148",7,1,20.2,1.9,1023.6,10,13.3,21,31.1,39.9,15.1,0,0,-1.03732670315016
"149",6,1,33.2,28.1,1023,8.3,6.8,13,16.9,39.9,23,0,0,-0.0304731742487823
"150",7,1,34.5,29.7,1022,9.8,6.9,13,21,39.9,30.9,0.07,0,-1.19682825228305
"151",3,1,28.1,14.6,1013.1,8.2,9.8,19,28,39.9,21.9,0,1,-0.279694344768925
"152",6,1,28.1,16.6,1023.2,7.5,15,24.1,32.1,39.9,15.1,0.01,1,-0.379382812976982
"153",1,1,51.3,49,1012,4.9,16.2,34,41,57.9,44.1,0,1,-1.36629864823675
"154",2,1,43.2,30.5,1005.5,8.4,17.5,24.1,31.1,57.9,35.1,2.17,1,0.806909958698897
"155",5,1,37.1,35.9,1002.4,5.9,21,40,51.1,42.8,27,0.07,0,-1.34636095459514
"156",1,1,9.3,-0.5,1028.3,10,12.7,19,27,19.9,1.9,0,0,-1.23670363956627
"157",5,1,14.3,-1.9,1018.7,10,15.5,22.9,29.9,19.9,10,0,0,-0.449164740722622
"158",4,1,16.2,-1.1,1018.6,10,15.6,21,28.9,21.9,12.9,0.01,0,-0.538884362109874
"159",5,1,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,0,-0.499008974826651
"160",5,1,16.5,5.1,1014.4,9.7,11.1,19,24.1,28.9,9,0,0,0.129028374884109
"161",2,1,13.7,6.3,1003.4,7,17,21,33,28.9,6.1,1.5,0,-1.86474098927703
"162",5,1,23.5,8.3,1034.2,10,7.9,12,20,28.9,12,0,0,-0.379382812976982
"163",1,1,21.7,4.7,1025.6,10,16.3,22.9,35,28.9,17.1,0,0,-1.69527059332334
"164",6,1,24.2,20.2,1007,0.8,26.9,35.9,47,30.9,15.8,0.15,1,-1.75508367424817
"165",1,1,26,12.8,1030.5,10,8,13,15.9,30.9,18,0,0,-2.24355716846765
"166",1,1,27,21.7,1028.8,10,14.5,17.1,25.1,30.9,24.8,0.01,0,-1.04729554997097
"167",3,1,30.2,27.9,993.7,0.6,39.3,48,62.9,33.8,21,0.4,1,-4.09776267713751
"168",7,1,44.8,43,1019,4.4,13.4,22.9,32.1,51.8,37.9,0,1,-1.33639210777433
"169",2,1,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,1,-0.568790902572291
"170",4,1,21.6,14.7,1009.6,6.6,16.6,29.9,44.1,26.1,19,0.23,0,-1.40617403551997
"171",6,1,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,0,0.747096877774063
"172",4,1,45.1,44,1013.9,4.4,12.4,19,25.1,48.2,37,0.03,1,-1.01738900950855
"173",3,1,42.2,36.4,1021.5,9.1,11.1,17.1,22.23,48.2,28.9,0,0,1.34522768702241
"174",6,1,28.8,22.6,1034.1,9.7,5.8,11.1,14.43,39.2,12.9,0,0,0.677314950028423
"175",1,1,37.8,33.5,1026,9,8.6,18.1,25.1,42.1,27,0,0,-2.78187489679116
"176",4,1,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,0,0.308467617658612
"177",4,1,31.4,24.2,1029.7,10,6.6,14,18.2,42.1,21.9,0,0,0.876691886444537
"178",3,1,33.8,23.7,1016.7,10,9.6,14,18.2,42.1,30,0,0,0.816878805519703
"179",3,1,35.6,26.3,1037.4,10,13.6,20,26,42.1,15.1,0,0,-0.0205043274279766
"180",7,1,37.3,24.5,1017.3,10,13.2,20,28,42.1,30.9,0,0,-2.09402446615556
"181",2,1,35,28,1023.6,9.9,18.3,26,33,42.1,21.9,0,0,1.20566383153113
"182",2,1,35.9,31,1020.5,8.8,8.5,17.1,22,42.1,28,0.01,0,-0.778136685809211
"183",4,1,31.6,23.8,1029.6,9.4,8.3,13,16.9,42.1,8.1,0,0,-0.459133587543428
"184",5,1,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,0,0.0193710598552462
"185",3,1,31.9,30.5,1010.7,4.3,23.4,32.1,40,42.1,26.1,0.53,1,-0.199943570202479
"186",6,1,23,13.8,995.7,9.5,23.4,28,39,42.1,15.1,2.14,0,1.00628689511501
"187",7,1,38.8,35.8,1009.2,8.7,7.9,19,28,44.1,28,0,0,-1.50586250372803
"188",2,1,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,0,-0.339507425693759
"189",1,1,35.1,28.2,1021.8,9.9,7.8,17.1,22.23,44.1,21,0,0,-1.53576904419045
"190",1,1,35.7,31.3,1019.7,9.8,5.9,15,20,44.1,23,0.01,0,-2.05414907887234
"191",6,1,38.6,35.8,1014.8,6.7,3.7,8.9,11.57,44.1,32,0,1,-0.100255101994422
"192",3,1,40,30.9,1023.1,9.6,8.4,14,21,44.1,37,0,0,0.577626481820366
"193",2,1,40.9,34.4,1011.4,8.8,18.6,26,38.1,44.1,37.4,0,0,0.677314950028423
"194",3,1,35.7,23.4,1009.5,10,13.1,20,26,44.1,33.1,0.03,0,-0.987482469046131
"195",2,1,34.4,24.9,1002.2,8.8,15.3,27,35,44.1,26.1,0.45,0,-1.17689055864144
"196",4,1,41.6,38.5,1015.9,4.5,13.8,19,24.1,44.1,36,0.26,0,-0.499008974826651
"197",6,1,38,31.4,1030.6,10,5.4,11.1,14.43,44.1,32,0,0,0.607533022282783
"198",7,1,37.7,22.9,1014.3,10,12.5,19,25.1,44.1,34,0.03,0,-1.76505252106898
"199",6,1,41.2,28,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,0,-2.05414907887234
"200",5,1,28,12.4,1021.1,10,13.2,17.1,24.1,44.1,23,0,0,0.0293399066760519
"201",1,1,24.1,15.9,1021.1,6.1,19.5,34,42.9,33.1,19,0.37,1,-1.92455407020187
"202",4,1,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,0,-1.18685940546224
"203",4,1,25.6,18.3,1025.1,10,6.7,12,15.6,35.1,10.9,0,0,0.458000319970698
"204",3,1,29.4,18.7,1017.5,10,7.4,13,16.9,35.1,21.9,0,0,0.188841455808943
"205",7,1,18.8,10.9,1030.5,9.3,12.1,21,26,35.1,8.1,0.01,0,-1.8049279083522
"206",2,1,32.8,22.5,1021.6,10,15.3,21,26,35.1,19.9,0,0,1.03619343557743
"207",6,1,28,11.8,1020.4,10,13.1,22,29.9,35.1,21.9,0,0,1.02622458875662
"208",7,1,31.3,24.9,1022,5.7,13.4,32.1,41,35.1,28.9,0.11,1,2.96018087199293
"209",1,1,40.2,32.3,1007.3,9.2,7.7,12,18.1,51.1,36,0.77,0,-1.47595596326561
"210",4,1,41.1,36.1,1008.5,8.8,13.9,20,28.9,51.1,34,0.68,1,0.158934915346526
"211",7,1,45.7,42.5,999,7.3,15.7,32.1,42,51.1,39.9,1.3,0,-0.359445119335371
"212",3,1,45.3,45.3,1012.9,4.4,16.2,26,35.9,51.1,27,0,1,-0.678448217601154
"213",1,1,45.1,38.4,1003.8,5.5,14.7,28.9,36.9,53.1,39,1.6,1,-2.10399331297637
"214",1,1,43.2,40.4,1008.1,4.5,8.4,15,21,53.1,39,0,1,-1.87470983609784
"215",4,1,46.5,43.7,996.4,6.2,13.6,21,28,53.1,42.1,0.87,1,-0.0902862551736166
"216",5,1,47.8,45.5,1021.7,5.4,12.6,19,24.1,53.1,42.1,0.42,0,0.467969166791503
"217",5,1,31.1,22.4,1020.8,5.8,10.9,25.1,34,35.6,26.1,0,0,0.0393087534968576
"218",6,2,14.1,-0.8,1013.5,9.5,18.8,24.1,32.1,19,8.6,0.01,0,0.21874799627136
"219",1,2,5.8,-6.7,1024.1,8.5,16.3,22.9,36.9,27,-2,0,0,-2.89153221182002
"220",6,2,21,9.1,1016.3,7.9,21.5,34,45.1,27,16,1.26,1,1.08603766968146
"221",7,2,23.5,11.8,1011.5,7.4,12.2,24.1,29.9,27,12.9,0,0,-1.18685940546224
"222",7,2,22.2,9.9,1037.3,10,7.2,11.1,15,28,16,0,0,-0.608666289855514
"223",6,2,20.3,0.3,1020.5,9.6,12.5,24.1,33,28,14,0,0,0.557688788178755
"224",4,2,23.7,10,1030.8,10,10.5,17.1,25.1,30,17.6,0,0,0.418124932687475
"225",4,2,26.7,10.2,1034.1,10,7.7,14,18.1,30,19.9,0,0,0.158934915346526
"226",3,2,28.7,16.6,1014.6,7.8,8.2,14,18.1,32,27,0,0,-0.329538578872954
"227",3,2,24,6.4,1023.8,10,9.2,15,18.1,32,19.9,0,0,0.368280698583446
"228",1,2,24.8,10.2,1018.4,10,16.8,25.1,32.1,32,17.1,0,0,-2.37315217713812
"229",7,2,28.2,14.2,1023.9,10,8.6,12,19,32,21.9,0,0,-1.74511482742736
"230",2,2,24.6,7.6,1010.5,9.3,22,28,36.9,32,19,0,0,-2.00430484476831
"231",6,2,28.1,15.7,1023.2,10,9,14,19,32,24.1,0,0,0.757065724594869
"232",5,2,24.7,11.2,1008.1,8.6,8.4,15.9,26,32,14,0,0,-0.279694344768925
"233",2,2,10.7,-4.6,1010.9,8.6,22.7,29.9,42.9,32,1.9,0,0,-1.96442945748509
"234",2,2,24.3,8.9,1019.8,9.3,13.1,19,28,32,19,0,0,-1.07720209043338
"235",2,2,30.7,14.4,1026.6,10,8.1,14,18.1,34,24.1,0,0,-0.309600885231342
"236",1,2,25.7,21,996.7,4.6,19.6,41,55.9,34,8.1,0.04,1,-1.44604942280319
"237",1,2,28.7,9.5,1034.3,10,11.7,15.9,22,34,24.1,0,0,-1.53576904419045
"238",1,2,24.7,14.7,1024.4,8.9,16.4,25.1,36.9,34,21,0.06,0,-1.9843671511267
"239",3,2,31.5,23,1039.1,10,9.7,18.1,22.9,34,28,0.14,0,0.138997221704915
"240",4,2,30.6,24.5,1010.4,10,8.8,13,16.9,36,16,0,0,0.268592230375389
"241",5,2,30.6,14.1,1009.7,10,17.3,21,29.9,36,28,0.03,0,-1.00742016268774
"242",1,2,30.7,24.5,1012,8.2,9.8,17.1,22.9,36,25,0.01,0,-1.53576904419045
"243",7,2,23.5,10.5,1023.7,10,11.8,25.1,32.1,36,10.9,0,0,-0.219881263844091
"244",5,2,27,19.7,1003.6,6.9,11,25.1,32.1,36,19.9,0,0,-0.837949766734045
"245",6,2,19.3,4.2,1019.2,10,14,24.1,35.9,36,15.1,0,0,0.288529924017
"246",3,2,36.7,25.4,1019,10,10.6,15.9,26,46,30,0.11,0,-1.21676594592466
"247",2,2,33.1,27.4,1014.4,5.7,12.8,27,36.9,46,19.9,0,1,0.806909958698897
"248",5,2,36.8,32.9,1016.1,6.4,13.3,24.1,33,46,23,0.24,1,-0.0205043274279766
"249",3,2,37.1,26.6,1026.3,10,6.9,12,15.6,46,30,0,0,-1.15695286499983
"250",1,2,30.9,20.8,1016.9,10,7.6,14,22,46,25,0.01,0,-1.59558212511528
"251",3,2,21,11.7,1016.9,9.3,17.6,33,42.9,46,14,0.86,0,1.40504076794724
"252",1,2,37.8,34.1,1026.4,9.1,13.4,22,28,46,30,0,0,-0.578759749393096
"253",6,2,38.3,26.1,1022.3,10,8.7,14,18.2,46,30.9,0.2,0,-0.528915515289068
"254",4,2,42.6,38.2,1020.1,10,12.9,17.1,22,48,28,0,0,0.547719941357949
"255",7,2,41.6,39,1028.8,9,11.3,15,19.5,48,21.9,0,0,-0.499008974826651
"256",3,2,45.6,45.5,1027.6,2.9,12.4,18.1,24.1,48,44.1,0.06,1,-0.638572830317931
"257",2,2,36.4,32,1022.1,7.6,9.8,21,28.9,48,24.1,0,0,-1.23670363956627
"258",2,2,39.1,25.5,1026.8,10,13.2,19,28,48,30,0,0,-0.588728596213902
"259",4,2,46.2,43.9,1004.2,2.8,10.1,19,26,50,42.1,0.13,1,0.737128030953258
"260",3,2,43,42.1,1014.2,3,4.8,9.9,12.87,50,34,0,1,-0.289663191589731
"261",6,2,42.2,40,1017.2,3.9,10.4,19,26,50,35.1,0.26,1,-0.538884362109874
"262",4,2,39.1,31.5,1020.4,9.9,9.7,14,15.9,50,33.1,0,0,0.158934915346526
"263",3,2,44.5,41.7,1018.9,4.8,18.5,26,38.1,50,36,0.02,1,0.158934915346526
"264",5,2,39.6,32.2,1018.5,7.1,10.4,15.9,26,50,23,0.19,0,-0.429227047081011
"265",6,2,40.2,35.7,989.5,5.7,20.1,35.9,47,50,30,1.41,1,1.92342080262914
"266",4,2,41.5,35.8,1011.9,6.2,12,17.1,22,50,35.1,1.02,1,-0.738261298525988
"267",1,2,46.3,46.3,1017.9,1.2,9.7,18.1,26,52,36,0.61,1,-1.19682825228305
