"","day","temp","visib","wdsp","fog","NUM_COLLISIONS"
"85",5,29.4,10,11.2,0,-0.130161642456839
"86",4,32.9,9.6,18,0,0.0592464471384691
"87",3,27.7,7.9,20.3,0,0.408156085866669
"88",2,34,9.7,6.5,0,-0.538884362109874
"89",4,31.3,9.8,9.1,0,-0.199943570202479
"90",2,31.6,10,6.2,0,-1.21676594592466
"91",3,38.3,9.3,14.6,0,0.84678534598212
"92",1,38,9.9,10.2,0,-1.70523944014414
"93",6,40.4,10,13.1,0,-1.56567558465286
"94",4,41.6,7,8.8,0,-0.209912417023285
"95",5,40.7,7.4,7.6,0,0.109090681242498
"96",6,41.3,10,5.9,0,0.458000319970698
"97",7,38.7,10,18.3,0,-0.977513622225325
"98",1,36.5,9.4,16,0,-1.92455407020187
"99",7,38.5,6.7,12.4,0,-1.70523944014414
"100",2,31.2,9.2,10.1,0,-2.43296525806296
"101",3,22.2,10,10.7,0,-0.947607081762908
"102",6,36.5,10,7.2,0,1.22560152517274
"103",2,38.8,8.8,12.3,0,-0.877825154017268
"104",6,42.1,9.9,20.3,0,-0.160068182919257
"105",2,27.4,10,17.4,0,-0.150099336098451
"106",4,33.5,10,8.3,0,0.258623383554583
"107",6,39.9,10,4.3,0,0.0592464471384691
"108",5,38.5,10,8.6,0,0.966411507831789
"109",7,37.8,10,11.6,0,-0.0304731742487823
"110",7,34.5,9.5,11.1,0,-1.42611172916158
"111",4,41.1,8.5,17.4,0,-0.229850110664897
"112",2,44,7.6,16.3,0,-1.00742016268774
"113",4,35,10,10.3,0,-0.967544775404519
"114",3,48.9,2.3,17.2,1,-0.349476272514565
"115",7,42.7,7.1,7.9,0,-1.23670363956627
"116",6,39,9.8,9.9,0,-0.0105354806071709
"117",7,43.8,5,11.8,0,-1.43608057598239
"118",3,29.2,8.5,12.6,1,5.60192527950645
"119",1,45.4,4.3,5.8,1,-2.25352601528846
"120",5,40.5,10,6.8,0,-0.568790902572291
"121",3,36.3,6.7,9.3,1,-0.279694344768925
"122",5,39.4,9.5,9.2,0,-0.947607081762908
"123",2,38.6,9.2,7.7,0,-0.309600885231342
"124",7,35.9,9.2,15.3,0,-1.14698401817902
"125",4,44.4,5.6,13.4,1,-0.847918613554851
"126",2,41,10,16.8,0,-2.38312102395893
"127",7,38.1,10,14.3,0,-0.688417064421959
"128",1,39.7,9.6,13.1,0,-2.22361947482604
"129",5,34.9,9.7,14.7,0,-0.189974723381674
"130",3,42.3,9.5,8,0,-0.827980919913239
"131",4,41.1,6.5,6,0,-0.160068182919257
"132",3,44.3,5.4,15.2,0,0.597564175461978
"133",1,39.7,10,7.2,0,-1.8049279083522
"134",2,36.4,7.6,4,0,-0.399320506618594
"135",6,33.7,9.9,9.1,0,-0.389351659797788
"136",3,35.4,2.6,4.9,1,-0.568790902572291
"137",3,25.5,10,21.7,0,0.627470715924395
"138",2,31.6,9.1,15.4,0,-0.758198992167599
"139",5,28.9,8.1,11.4,0,-0.0205043274279766
"140",7,34.6,6.1,17.5,1,-1.96442945748509
"141",2,33.5,10,6.5,0,0.587595328641172
"142",1,34.5,6.3,25.6,0,-0.818012073092434
"143",7,30.5,10,7.9,0,-0.658510523959542
"144",3,32.3,8.2,8.8,0,0.178872608988138
"145",5,35.8,2.8,14.1,0,-0.508977821647457
"146",6,34.5,10,14.9,0,-0.359445119335371
"147",5,31.8,9.9,13.6,0,-2.03421138523073
"148",7,20.2,10,13.3,0,-1.03732670315016
"149",6,33.2,8.3,6.8,0,-0.0304731742487823
"150",7,34.5,9.8,6.9,0,-1.19682825228305
"151",3,28.1,8.2,9.8,1,-0.279694344768925
"152",6,28.1,7.5,15,1,-0.379382812976982
"153",1,51.3,4.9,16.2,1,-1.36629864823675
"154",2,43.2,8.4,17.5,1,0.806909958698897
"155",5,37.1,5.9,21,0,-1.34636095459514
"156",1,9.3,10,12.7,0,-1.23670363956627
"157",5,14.3,10,15.5,0,-0.449164740722622
"158",4,16.2,10,15.6,0,-0.538884362109874
"159",5,21.8,10,9.8,0,-0.499008974826651
"160",5,16.5,9.7,11.1,0,0.129028374884109
"161",2,13.7,7,17,0,-1.86474098927703
"162",5,23.5,10,7.9,0,-0.379382812976982
"163",1,21.7,10,16.3,0,-1.69527059332334
"164",6,24.2,0.8,26.9,1,-1.75508367424817
"165",1,26,10,8,0,-2.24355716846765
"166",1,27,10,14.5,0,-1.04729554997097
"167",3,30.2,0.6,39.3,1,-4.09776267713751
"168",7,44.8,4.4,13.4,1,-1.33639210777433
"169",2,47.2,1.3,8.2,1,-0.568790902572291
"170",4,21.6,6.6,16.6,0,-1.40617403551997
"171",6,19,10,13.6,0,0.747096877774063
"172",4,45.1,4.4,12.4,1,-1.01738900950855
"173",3,42.2,9.1,11.1,0,1.34522768702241
"174",6,28.8,9.7,5.8,0,0.677314950028423
"175",1,37.8,9,8.6,0,-2.78187489679116
"176",4,36.8,8.8,15.1,0,0.308467617658612
"177",4,31.4,10,6.6,0,0.876691886444537
"178",3,33.8,10,9.6,0,0.816878805519703
"179",3,35.6,10,13.6,0,-0.0205043274279766
"180",7,37.3,10,13.2,0,-2.09402446615556
"181",2,35,9.9,18.3,0,1.20566383153113
"182",2,35.9,8.8,8.5,0,-0.778136685809211
"183",4,31.6,9.4,8.3,0,-0.459133587543428
"184",5,15.7,9.5,16.4,0,0.0193710598552462
"185",3,31.9,4.3,23.4,1,-0.199943570202479
"186",6,23,9.5,23.4,0,1.00628689511501
"187",7,38.8,8.7,7.9,0,-1.50586250372803
"188",2,35.7,9.8,11.3,0,-0.339507425693759
"189",1,35.1,9.9,7.8,0,-1.53576904419045
"190",1,35.7,9.8,5.9,0,-2.05414907887234
"191",6,38.6,6.7,3.7,1,-0.100255101994422
"192",3,40,9.6,8.4,0,0.577626481820366
"193",2,40.9,8.8,18.6,0,0.677314950028423
"194",3,35.7,10,13.1,0,-0.987482469046131
"195",2,34.4,8.8,15.3,0,-1.17689055864144
"196",4,41.6,4.5,13.8,0,-0.499008974826651
"197",6,38,10,5.4,0,0.607533022282783
"198",7,37.7,10,12.5,0,-1.76505252106898
"199",6,41.2,9.8,10.2,0,-2.05414907887234
"200",5,28,10,13.2,0,0.0293399066760519
"201",1,24.1,6.1,19.5,1,-1.92455407020187
"202",4,27.5,10,12.4,0,-1.18685940546224
"203",4,25.6,10,6.7,0,0.458000319970698
"204",3,29.4,10,7.4,0,0.188841455808943
"205",7,18.8,9.3,12.1,0,-1.8049279083522
"206",2,32.8,10,15.3,0,1.03619343557743
"207",6,28,10,13.1,0,1.02622458875662
"208",7,31.3,5.7,13.4,1,2.96018087199293
"209",1,40.2,9.2,7.7,0,-1.47595596326561
"210",4,41.1,8.8,13.9,1,0.158934915346526
"211",7,45.7,7.3,15.7,0,-0.359445119335371
"212",3,45.3,4.4,16.2,1,-0.678448217601154
"213",1,45.1,5.5,14.7,1,-2.10399331297637
"214",1,43.2,4.5,8.4,1,-1.87470983609784
"215",4,46.5,6.2,13.6,1,-0.0902862551736166
"216",5,47.8,5.4,12.6,0,0.467969166791503
"217",5,31.1,5.8,10.9,0,0.0393087534968576
"218",6,14.1,9.5,18.8,0,0.21874799627136
"219",1,5.8,8.5,16.3,0,-2.89153221182002
"220",6,21,7.9,21.5,1,1.08603766968146
"221",7,23.5,7.4,12.2,0,-1.18685940546224
"222",7,22.2,10,7.2,0,-0.608666289855514
"223",6,20.3,9.6,12.5,0,0.557688788178755
"224",4,23.7,10,10.5,0,0.418124932687475
"225",4,26.7,10,7.7,0,0.158934915346526
"226",3,28.7,7.8,8.2,0,-0.329538578872954
"227",3,24,10,9.2,0,0.368280698583446
"228",1,24.8,10,16.8,0,-2.37315217713812
"229",7,28.2,10,8.6,0,-1.74511482742736
"230",2,24.6,9.3,22,0,-2.00430484476831
"231",6,28.1,10,9,0,0.757065724594869
"232",5,24.7,8.6,8.4,0,-0.279694344768925
"233",2,10.7,8.6,22.7,0,-1.96442945748509
"234",2,24.3,9.3,13.1,0,-1.07720209043338
"235",2,30.7,10,8.1,0,-0.309600885231342
"236",1,25.7,4.6,19.6,1,-1.44604942280319
"237",1,28.7,10,11.7,0,-1.53576904419045
"238",1,24.7,8.9,16.4,0,-1.9843671511267
"239",3,31.5,10,9.7,0,0.138997221704915
"240",4,30.6,10,8.8,0,0.268592230375389
"241",5,30.6,10,17.3,0,-1.00742016268774
"242",1,30.7,8.2,9.8,0,-1.53576904419045
"243",7,23.5,10,11.8,0,-0.219881263844091
"244",5,27,6.9,11,0,-0.837949766734045
"245",6,19.3,10,14,0,0.288529924017
"246",3,36.7,10,10.6,0,-1.21676594592466
"247",2,33.1,5.7,12.8,1,0.806909958698897
"248",5,36.8,6.4,13.3,1,-0.0205043274279766
"249",3,37.1,10,6.9,0,-1.15695286499983
"250",1,30.9,10,7.6,0,-1.59558212511528
"251",3,21,9.3,17.6,0,1.40504076794724
"252",1,37.8,9.1,13.4,0,-0.578759749393096
"253",6,38.3,10,8.7,0,-0.528915515289068
"254",4,42.6,10,12.9,0,0.547719941357949
"255",7,41.6,9,11.3,0,-0.499008974826651
"256",3,45.6,2.9,12.4,1,-0.638572830317931
"257",2,36.4,7.6,9.8,0,-1.23670363956627
"258",2,39.1,10,13.2,0,-0.588728596213902
"259",4,46.2,2.8,10.1,1,0.737128030953258
"260",3,43,3,4.8,1,-0.289663191589731
"261",6,42.2,3.9,10.4,1,-0.538884362109874
"262",4,39.1,9.9,9.7,0,0.158934915346526
"263",3,44.5,4.8,18.5,1,0.158934915346526
"264",5,39.6,7.1,10.4,0,-0.429227047081011
"265",6,40.2,5.7,20.1,1,1.92342080262914
"266",4,41.5,6.2,12,1,-0.738261298525988
"267",1,46.3,1.2,9.7,1,-1.19682825228305
"268",2,45,3.9,13.6,1,-0.558822055751485
"269",7,35.9,10,13.1,0,0.0492776003176634
"270",6,44.8,2.9,8.8,1,-0.170037029740062
"271",2,47.6,6.9,11.8,0,1.1657884442479
"272",3,43.2,10,6.5,0,1.11594421014387
"273",1,46.8,8.4,11.2,0,-1.17689055864144
"274",5,51.6,3.1,13,1,0.0991218344216919
"275",6,47.5,6.9,10,1,0.577626481820366
"276",2,47.8,7.2,17,0,0.168903762167332
"277",2,41.8,10,9.2,0,0.158934915346526
"278",6,40.8,3.5,17.9,1,0.0791841407800805
"279",2,28.9,9,9,0,0.786972265057286
"280",1,35.4,8.1,10.4,0,-1.08717093725419
"281",7,21.9,10,8.5,0,-0.818012073092434
"282",3,25.9,10,15.1,0,-0.718323604884377
"283",4,32.6,9.9,23.9,0,0.109090681242498
"284",1,30.3,10,4.9,0,-1.48592481008642
"285",5,30.4,8.6,11.5,0,-0.299632038410537
"286",1,30.9,4.2,23.6,1,-1.51583135054883
"287",7,35.2,7.3,11.8,0,-0.827980919913239
"288",6,31.8,10,14,0,0.806909958698897
"289",1,29.8,7.5,20.2,1,-1.34636095459514
"290",7,35.6,10,4.8,0,-0.917700541300491
"291",1,36,2.6,7.7,1,-0.798074379450822
"292",7,36.3,9.7,7,0,-0.778136685809211
"293",7,32,8.4,10,0,-0.877825154017268
"294",3,32.5,10,7.8,0,0.138997221704915
"295",2,29.4,6,8.9,1,-0.249787804306508
"296",1,35.6,7.9,15.2,0,-1.59558212511528
"297",4,36.1,10,7.7,0,-0.289663191589731
"298",7,34.8,10,4.9,0,-1.59558212511528
"299",2,37.5,8.3,13.4,0,-1.08717093725419
"300",5,39.1,4.5,11.8,0,-0.110223948815228
"301",5,36.6,8.4,8.9,0,0.318436464479418
"302",7,19.8,10,16.5,0,-1.20679709910386
"303",3,36.5,10,9.9,0,0.238685689912972
"304",6,40.6,3,9.8,1,0.617501869103589
"305",4,38.7,9.7,10.5,0,-0.249787804306508
"306",1,39.3,5.5,8.7,1,-1.814896755173
"307",3,35,10,5,0,-0.618635136676319
"308",3,41.4,6.5,11.9,1,-1.00742016268774
"309",1,39.4,8.3,12.4,0,-1.26661018002869
"310",2,36.5,5.3,9.1,1,3.5981870685245
"311",7,32.3,9.9,12.1,0,-0.459133587543428
"312",7,31.5,10,16.4,0,-0.588728596213902
"313",5,37.7,10,9.9,0,-0.130161642456839
"314",6,40.2,9.5,20.8,0,-1.22673479274547
"315",1,47.8,9.5,13.9,0,-1.60555097193608
"316",2,41.9,10,11.7,0,-1.70523944014414
"317",6,38.6,9.8,6,0,0.0492776003176634
"318",4,38.7,8.5,16.9,0,-0.887794000838074
"319",4,40.6,9.7,7.8,0,-1.21676594592466
"320",2,38.7,8.4,24.3,0,1.00628689511501
"321",1,42.6,4.3,17.1,0,-1.72517713378575
"322",2,42.1,6.5,10.7,1,-0.419258200260205
"323",1,40.5,5.7,14.1,1,-1.9743983043059
"324",2,37.5,9.7,10.3,0,-0.299632038410537
"325",5,35.5,10,15.9,0,0.647408409566006
"326",2,42.5,5.1,14.1,1,1.06609997603985
"327",3,38.1,8.4,9.2,0,0.268592230375389
"328",2,38.1,9.6,8.3,0,-1.6354575123985
"329",7,37,9.8,10.4,0,-0.289663191589731
"330",5,41.4,7.2,7.8,1,-0.818012073092434
"331",4,41.1,4.4,17.9,1,0.398187239045863
"332",4,44.1,5.9,18,1,-0.489040128005845
"333",1,42,9.5,9.1,0,-1.84480329563542
"334",3,40.3,10,8.9,0,0.318436464479418
"335",3,30,10,4.8,0,-0.538884362109874
"336",3,44.2,9,7.9,0,-0.0803174083528109
"337",7,42.3,5,11.4,1,-0.588728596213902
"338",2,39.7,7.5,7.3,0,0.517813400895532
"339",6,37.5,9.7,10.6,0,-0.508977821647457
"340",1,42.8,10,16.6,0,-0.897762847658879
"341",4,45.9,0.2,13.3,1,0.0193710598552462
"342",5,37,6.3,13.4,1,-1.51583135054883
"343",5,43.1,8.3,13.8,1,-0.489040128005845
"344",7,42.8,8.8,12.5,0,-0.439195893901817
"345",5,44,5.2,8.2,1,-0.180005876560868
"346",6,39.8,8.2,14.2,0,0.168903762167332
"347",1,42.5,6.4,12.3,1,-1.50586250372803
"348",5,34.6,8.4,14.5,0,0.168903762167332
"349",7,41.1,7.9,10.6,0,-0.638572830317931
"350",4,36.4,8.4,9.5,1,0.537751094537143
"351",4,32.3,6.3,9.2,0,-1.30648556731191
"352",2,32.8,6.3,8,0,-1.92455407020187
"353",7,29.2,1.2,35.3,1,-1.95446061066428
"354",1,34.5,7.6,6,0,-2.04418023205154
"355",3,36.4,7.4,21.1,0,-0.279694344768925
"356",2,37.1,6.3,14.9,0,-0.518946668468262
"357",4,33.5,9.1,4.2,0,-0.618635136676319
"358",6,34.3,7.3,16.3,0,1.03619343557743
"359",5,31.5,9.5,11.2,0,0.228716843092166
"360",6,16.8,9.8,15.8,0,0.527782247716338
"361",6,34.7,10,10.7,0,-0.668479370780348
"362",5,34.1,7.2,12.9,1,-0.299632038410537
"363",6,33.1,10,18.2,0,-0.249787804306508
"364",4,28.1,10,7.6,0,-0.140130489277645
"365",6,35.4,9.8,14.2,1,-0.678448217601154
"366",7,49.8,6.5,10.1,1,-0.259756651127314
"367",1,43,7.3,14.3,1,-1.36629864823675
"368",6,17.6,9.8,10.9,0,0.517813400895532
"369",3,21.7,6.5,7.7,0,0.208779149450555
"370",5,26,7.4,8,0,0.996318048294206
"371",4,25.8,8.9,8,0,-0.877825154017268
"372",6,24.2,10,9.3,0,1.03619343557743
"373",2,29,8.8,15.5,0,-0.459133587543428
"374",4,29.9,7.9,12.4,0,0.288529924017
"375",7,41.4,7.1,11,1,-0.120192795636034
"376",4,34.8,9,6.1,0,-0.329538578872954
"377",5,51,4.2,20.9,1,0.6374395627452
"378",3,29.2,10,20.2,0,0.70722149049084
"379",3,33.1,8.1,11.5,0,-0.279694344768925
"380",6,28.3,10,6.2,0,-0.160068182919257
"381",3,28.2,9,12.7,0,-0.808043226271628
"382",3,27,10,15.5,0,-0.857887460375656
"383",7,30.7,10,11.6,0,-2.10399331297637
"384",5,36.1,9.2,14.4,1,0.527782247716338
"385",6,34.2,6.4,11.9,0,0.178872608988138
"386",4,36.6,7.5,8.7,0,0.0393087534968576
"387",5,36,10,12.5,0,-0.0703485615320052
"388",7,39.2,9.2,8.6,1,-1.49589365690722
"389",2,36.4,3.8,25.8,1,-0.977513622225325
"390",1,38.7,10,6.7,0,-1.75508367424817
"391",5,40.8,2.2,9.7,1,0.458000319970698
"392",1,36.1,9.5,11.5,0,-1.69527059332334
"393",5,38.3,9.4,11.9,0,-0.0504108678903938
"394",2,37.5,10,14.4,0,-0.309600885231342
"395",6,30.9,10,9,0,0.0991218344216919
"396",4,36.9,8.5,8.7,0,0.717190337311646
"397",4,35,8.9,12.3,0,-0.469102434364234
"398",2,35.9,6.5,19.7,1,0.42809377950828
"399",7,20.6,8.6,8.4,1,-1.6254886655777
"400",7,28.4,10,14.1,0,-0.578759749393096
"401",3,30.1,10,15.1,0,0.886660733265343
"402",7,27.4,9.5,10.3,0,-1.49589365690722
"403",5,28,7.5,12,1,-0.598697443034708
"404",4,21.6,10,10.9,0,-0.698385911242765
"405",3,14.3,10,11.9,0,-0.189974723381674
"406",5,31,8.9,9.5,0,-0.728292451705182
"407",5,29.4,10,10.2,0,-0.728292451705182
"408",7,27.6,10,12.5,0,-0.648541677138737
"409",6,21.8,8.1,16.2,0,1.57451116390094
"410",3,29.4,8.2,11.2,1,0.876691886444537
"411",5,38.1,7,17.8,1,-0.917700541300491
"412",4,42.6,9.5,11.9,0,-0.199943570202479
"413",2,18.6,9.3,6,0,-3.07097145459452
"414",4,46.9,6,12.7,0,0.607533022282783
"415",2,21.9,10,10.9,0,1.92342080262914
"416",5,22.1,10,12.5,0,-0.429227047081011
"417",3,24.8,10,8.3,0,-0.668479370780348
"418",4,25.4,10,13.5,0,-0.100255101994422
"419",4,30.8,4.7,28,1,-0.359445119335371
"420",5,28.4,10,18.2,0,-0.608666289855514
"421",4,29.5,9.5,7.1,0,-1.07720209043338
"422",3,27,10,10.8,0,0.318436464479418
"423",5,28.5,9.8,19.1,0,2.39195660320701
"424",2,33.4,6.8,10.9,0,0.507844554074726
"425",5,29.9,10,12.2,0,0.258623383554583
"426",2,27.4,10,13.4,0,-0.518946668468262
"427",2,28.9,10,9.9,0,0.188841455808943
"428",2,43.8,9.5,12.3,0,0.408156085866669
"429",5,40,10,12.8,0,0.398187239045863
"430",5,39,10,7.2,0,0.119059528063303
"431",2,36.7,10,9,0,0.796941111878092
"432",3,35,3.4,31,1,-0.209912417023285
"433",5,26.4,10,17.1,0,1.03619343557743
"434",1,35.8,9.3,16.6,0,-1.07720209043338
"435",5,39.6,8.2,15.8,0,0.338374158121029
"436",2,36.8,9.9,9,0,-0.279694344768925
"437",7,39.3,9,21.7,0,-0.688417064421959
"438",7,38.7,5.8,10.8,1,-0.917700541300491
"439",3,39.4,9.8,13.6,0,0.288529924017
"440",1,38.5,7,12.3,0,-1.39620518869916
"441",1,39.1,10,15.5,0,-1.32642326095352
"442",5,41.7,6.3,14.9,1,0.278561077196195
"443",7,36.3,10,6.8,0,-0.489040128005845
"444",6,42.3,6.9,15,0,1.18572613788951
"445",7,40.3,8.9,11,1,-0.837949766734045
"446",7,42.9,8.2,13.1,0,-0.279694344768925
"447",4,41.9,8.3,14.4,0,0.727159184132452
"448",4,40.4,10,10.1,0,0.298498770837806
"449",4,42.1,5,12.3,1,-0.339507425693759
"450",2,42.5,9.8,11,0,-0.728292451705182
"451",5,38.1,10,14.1,0,-0.130161642456839
"452",3,36.9,10,10.8,0,0.109090681242498
"453",6,41.2,8.9,13.7,0,-0.688417064421959
"454",5,40.7,10,12.7,0,0.248654536733778
"455",3,40.7,5,8.7,1,-0.0703485615320052
"456",4,41.7,10,9.4,0,-1.57564443147367
"457",4,46.3,7.1,13.1,0,0.368280698583446
"458",3,39.9,10,7.9,0,0.368280698583446
"459",3,46,7.5,13.1,0,-0.518946668468262
"460",4,38.6,10,14.8,0,0.178872608988138
"461",1,37,9.5,9.8,0,-1.42611172916158
"462",5,42.5,9.9,12.5,0,-0.499008974826651
"463",7,38.1,9.7,11.2,0,-1.05726439679177
"464",1,36.3,10,13.2,0,-1.79495906153139
"465",5,45.9,9.1,17.7,0,0.657377256386812
"466",4,45.7,6.8,18.2,0,0.537751094537143
"467",4,47.4,2,11.5,1,-0.279694344768925
"468",5,47.8,6.9,21.6,0,0.537751094537143
"469",6,35.5,5.8,12.1,1,0.129028374884109
"470",7,44.5,10,7,0,-0.857887460375656
"471",6,45.2,10,8.9,0,-0.788105532630016
"472",7,46.1,9.4,7.7,0,-0.827980919913239
"473",6,47,9.9,12.3,0,0.448031473149892
"474",7,40,10,10,0,-0.588728596213902
"475",3,43.2,9.3,12.1,0,0.627470715924395
"476",3,48.3,3.4,17.3,1,0.0891529876008862
"477",5,45.1,9.6,11.3,0,0.35831185176264
"478",6,22.7,8.3,11.7,0,3.38884128528758
"479",2,30.5,10,12.2,0,0.866723039623732
"480",7,22.9,9.9,17.8,0,-0.628603983497125
"481",7,35.1,6,16.1,0,0.42809377950828
"482",3,27.7,10,8.7,0,-0.479071281185039
"483",2,32.1,10,9,0,0.238685689912972
"484",3,32.5,10,9.1,0,-0.0205043274279766
"485",7,34.8,9.1,20.8,0,0.0193710598552462
"486",1,33.8,9.2,8,0,-1.34636095459514
"487",4,36.8,8.6,21,0,-1.21676594592466
"488",2,28.5,10,14.2,0,-0.798074379450822
"489",4,34.8,9.7,22.8,0,0.527782247716338
"490",6,34.3,6.8,13.6,0,0.0492776003176634
"491",6,33,10,10.9,0,1.56454231708013
"492",6,31.2,10,18.5,0,0.0791841407800805
"493",7,37.4,7.8,12.7,0,-1.39620518869916
"494",6,33.9,6.9,8.5,0,0.856754192802926
"495",1,33.2,10,3.1,0,-0.987482469046131
"496",3,28.2,10,12.4,0,0.398187239045863
"497",2,34.5,10,10.8,0,-0.239818957485702
"498",1,35.3,10,10.7,0,-1.86474098927703
"499",1,35.1,9.4,15.7,0,-1.66536405286092
"500",7,37.1,10,10.2,0,-0.778136685809211
"501",6,37.4,3.3,28.4,0,2.51158276505667
"502",5,38.3,4.1,31.6,0,-0.638572830317931
"503",5,32.7,1.6,10,1,2.30223698181975
"504",7,34.2,7,8.5,0,-0.917700541300491
"505",6,31.1,10,12.3,0,0.0991218344216919
"506",3,37.7,10,17.5,0,0.767034571415675
"507",4,36.1,3.1,14.8,1,-0.249787804306508
"508",1,36,5.6,19.4,1,-0.489040128005845
"509",2,32.9,9,17.1,0,-0.698385911242765
"510",2,37.4,7.3,16,0,0.178872608988138
"511",1,37.2,10,11.3,0,-1.19682825228305
"512",6,35.3,9.9,9.6,0,0.547719941357949
"513",3,35.2,10,8.2,0,-0.339507425693759
"514",1,36.3,10,11.4,0,-1.33639210777433
"515",7,34.7,10,7.5,0,-0.947607081762908
"516",6,39.3,9.4,10.6,0,0.0393087534968576
"517",1,38.9,10,9.5,0,-1.71520828696495
"518",1,39,10,11.9,0,-1.83483444881462
"519",2,37,10,11.5,0,-0.0205043274279766
"520",3,38.5,9.9,14.9,0,-0.718323604884377
"521",4,39.1,9.4,13.5,0,-1.23670363956627
"522",4,34.4,10,10.7,0,-0.369413966156177
"523",1,39.6,9.9,23.4,0,-1.41614288234078
"524",4,38.1,8.9,12.3,0,-0.818012073092434
"525",2,37.8,8.2,24.2,0,0.168903762167332
"526",7,38.1,10,17.5,0,-0.319569732052148
